image_id,filename,filepath,file_url,mime_type,description,tags,search_text,processed_at,last_modified,embedding_version,model_version,status,error_message
img_screenshot_2026-03-16_at_20.13.46,Screenshot 2026-03-16 at 20.13.46.png,/Users/REDONSX1/Documents/training/Codex/code/vision-ingredient-lab/backend/data/images/Screenshot 2026-03-16 at 20.13.46.png,/data/images/Screenshot 2026-03-16 at 20.13.46.png,image/png,,,Screenshot 2026-03-16 at 20.13.46,2026-03-16T19:34:54.025009+00:00,2026-03-16T19:33:38.186333+00:00,v1,gpt-4.1-mini,error,"Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: api.responses.write. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
img_screenshot_2026-03-16_at_20.13.52,Screenshot 2026-03-16 at 20.13.52.png,/Users/REDONSX1/Documents/training/Codex/code/vision-ingredient-lab/backend/data/images/Screenshot 2026-03-16 at 20.13.52.png,/data/images/Screenshot 2026-03-16 at 20.13.52.png,image/png,,,Screenshot 2026-03-16 at 20.13.52,2026-03-16T19:34:54.431734+00:00,2026-03-16T19:33:38.186361+00:00,v1,gpt-4.1-mini,error,"Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: api.responses.write. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
img_screenshot_2026-03-16_at_20.14.11,Screenshot 2026-03-16 at 20.14.11.png,/Users/REDONSX1/Documents/training/Codex/code/vision-ingredient-lab/backend/data/images/Screenshot 2026-03-16 at 20.14.11.png,/data/images/Screenshot 2026-03-16 at 20.14.11.png,image/png,,,Screenshot 2026-03-16 at 20.14.11,2026-03-16T19:34:54.638593+00:00,2026-03-16T19:33:38.186298+00:00,v1,gpt-4.1-mini,error,"Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: api.responses.write. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
img_screenshot_2026-03-16_at_20.14.18,Screenshot 2026-03-16 at 20.14.18.png,/Users/REDONSX1/Documents/training/Codex/code/vision-ingredient-lab/backend/data/images/Screenshot 2026-03-16 at 20.14.18.png,/data/images/Screenshot 2026-03-16 at 20.14.18.png,image/png,,,Screenshot 2026-03-16 at 20.14.18,2026-03-16T19:34:54.834506+00:00,2026-03-16T19:33:38.186257+00:00,v1,gpt-4.1-mini,error,"Error code: 401 - {'error': {'message': ""You have insufficient permissions for this operation. Missing scopes: api.responses.write. Check that you have the correct role in your organization (Reader, Writer, Owner) and project (Member, Owner), and if you're using a restricted API key, that it has the necessary scopes."", 'type': 'invalid_request_error', 'param': None, 'code': None}}"
